"cohort","age_group","gender","n","pct_of_total","mean_age","pct_urban","pct_literate","pct_happy","pct_disabled"
1,"65-70","men",850,51.7,67.6,42.8,79.6,57.1,96.7
1,"65-70","women",793,48.3,67.5,39.7,34,56.2,95.8
1,"65-70","all",1643,,67.6,41.3,57.6,56.7,96.3
1,"71-76","men",846,50.4,73.5,41.7,71.3,58.2,94.3
1,"71-76","women",831,49.6,73.5,40.1,27,56.1,92.5
1,"71-76","all",1677,,73.5,40.9,49.3,57.1,93.4
1,"77-82","men",906,51.4,79.8,42.9,66.9,58.5,86.9
1,"77-82","women",857,48.6,79.7,44,19,58.3,85.4
1,"77-82","all",1763,,79.8,43.4,43.6,58.4,86.2
1,"83-88","men",686,53.3,84.3,48.1,69.7,59.9,80
1,"83-88","women",602,46.7,84.3,54.3,20.3,58.1,74.3
1,"83-88","all",1288,,84.3,51,46.6,59.1,77.3
2,"65-70","men",422,56,68.3,37.4,82,59.5,95
2,"65-70","women",332,44,68.5,47.6,60.8,57.5,96.7
2,"65-70","all",754,,68.4,41.9,72.7,58.6,95.8
2,"71-76","men",729,53.2,73.5,48.7,78.5,56.5,92.9
2,"71-76","women",641,46.8,73.5,53.7,39.5,57.4,92.7
2,"71-76","all",1370,,73.5,51,60.2,56.9,92.8
2,"77-82","men",618,51.8,79.4,49.7,70.1,59.5,89.8
2,"77-82","women",576,48.2,79.5,50,24.3,60.6,86.8
2,"77-82","all",1194,,79.5,49.8,48,60.1,88.4
2,"83-88","men",478,52.9,84.4,49.2,62.1,57.5,82.6
2,"83-88","women",425,47.1,84.3,43.8,16,54.4,81.6
2,"83-88","all",903,,84.3,46.6,40.4,56,82.2
