"Age Group","Education","Cohort","TLE","HapLE","HapLE%","UnHapLE","UnHapLE%"
"68-73","Literate","Earlier","5.60 (5.51, 5.68)","3.23 (3.01, 3.44)","57.7 (54.0, 61.4)","2.37 (2.16, 2.58)","42.3 (38.6, 46.0)"
"68-73","Literate","Later","5.52 (5.25, 5.79)","3.80 (3.23, 4.36)","68.8 (59.8, 77.8)","1.72 (1.24, 2.21)","31.2 (22.2, 40.2)"
"68-73","Literate","Diff.","-0.08 (-0.36, 0.20)","0.57 (-0.03, 1.17)","11.1 (1.4, 20.8)*","-0.65 (-1.17, -0.12)*","-11.1 (-20.8, -1.4)*"
"68-73","Illiterate","Earlier","5.45 (5.30, 5.61)","2.85 (2.55, 3.14)","52.2 (46.9, 57.4)","2.61 (2.31, 2.91)","47.8 (42.6, 53.1)"
"68-73","Illiterate","Later","5.32 (4.92, 5.73)","3.28 (2.24, 4.31)","61.6 (45.6, 77.6)","2.05 (1.28, 2.81)","38.4 (22.4, 54.4)"
"68-73","Illiterate","Diff.","-0.13 (-0.57, 0.30)","0.43 (-0.65, 1.51)","9.4 (-7.5, 26.2)","-0.56 (-1.38, 0.26)","-9.4 (-26.2, 7.5)"
"74-79","Literate","Earlier","5.34 (5.22, 5.45)","3.00 (2.77, 3.23)","56.3 (52.2, 60.4)","2.33 (2.11, 2.56)","43.7 (39.6, 47.8)"
"74-79","Literate","Later","5.36 (5.25, 5.47)","3.47 (3.20, 3.74)","64.7 (59.9, 69.5)","1.89 (1.63, 2.15)","35.3 (30.5, 40.1)"
"74-79","Literate","Diff.","0.02 (-0.13, 0.18)","0.47 (0.11, 0.82)**","8.5 (2.2, 14.8)**","-0.44 (-0.78, -0.10)*","-8.5 (-14.8, -2.2)**"
"74-79","Illiterate","Earlier","5.28 (5.16, 5.40)","2.78 (2.55, 3.01)","52.6 (48.5, 56.8)","2.50 (2.28, 2.72)","47.4 (43.2, 51.5)"
"74-79","Illiterate","Later","5.31 (5.16, 5.46)","2.96 (2.66, 3.26)","55.8 (50.1, 61.5)","2.35 (2.03, 2.67)","44.2 (38.5, 49.9)"
"74-79","Illiterate","Diff.","0.03 (-0.16, 0.22)","0.18 (-0.20, 0.56)","3.1 (-3.9, 10.2)","-0.15 (-0.54, 0.23)","-3.1 (-10.2, 3.9)"
"80-85","Literate","Earlier","4.81 (4.62, 5.00)","2.74 (2.45, 3.03)","57.0 (51.1, 62.8)","2.07 (1.77, 2.37)","43.0 (37.2, 48.9)"
"80-85","Literate","Later","4.85 (4.65, 5.04)","3.46 (3.14, 3.78)","71.3 (65.8, 76.8)","1.39 (1.13, 1.65)","28.7 (23.2, 34.2)"
"80-85","Literate","Diff.","0.04 (-0.23, 0.31)","0.72 (0.28, 1.15)**","14.4 (6.3, 22.4)***","-0.68 (-1.08, -0.28)***","-14.4 (-22.4, -6.3)***"
"80-85","Illiterate","Earlier","4.72 (4.58, 4.86)","2.78 (2.56, 3.01)","59.0 (54.8, 63.2)","1.93 (1.73, 2.13)","41.0 (36.8, 45.2)"
"80-85","Illiterate","Later","4.84 (4.66, 5.03)","3.19 (2.89, 3.48)","65.8 (60.6, 70.9)","1.66 (1.41, 1.90)","34.2 (29.1, 39.4)"
"80-85","Illiterate","Diff.","0.12 (-0.11, 0.36)","0.40 (0.03, 0.77)*","6.8 (0.1, 13.4)*","-0.28 (-0.60, 0.04)","-6.8 (-13.4, -0.1)*"
"86-91","Literate","Earlier","4.00 (3.80, 4.20)","2.43 (2.14, 2.72)","60.8 (54.3, 67.4)","1.57 (1.29, 1.84)","39.2 (32.6, 45.7)"
"86-91","Literate","Later","4.50 (4.28, 4.72)","3.14 (2.76, 3.52)","69.9 (62.7, 77.0)","1.35 (1.04, 1.67)","30.1 (23.0, 37.3)"
"86-91","Literate","Diff.","0.50 (0.20, 0.79)**","0.71 (0.23, 1.19)**","9.0 (-0.7, 18.8)","-0.21 (-0.63, 0.20)","-9.0 (-18.8, 0.7)"
"86-91","Illiterate","Earlier","4.08 (3.95, 4.20)","2.41 (2.23, 2.59)","59.2 (55.2, 63.2)","1.66 (1.50, 1.83)","40.8 (36.8, 44.8)"
"86-91","Illiterate","Later","4.11 (3.95, 4.27)","2.76 (2.55, 2.98)","67.1 (62.7, 71.5)","1.35 (1.17, 1.54)","32.9 (28.5, 37.3)"
"86-91","Illiterate","Diff.","0.04 (-0.17, 0.24)","0.35 (0.07, 0.63)*","7.9 (2.0, 13.9)**","-0.31 (-0.56, -0.06)*","-7.9 (-13.9, -2.0)**"
