"Age Range","Education","Cohort","TLE","HapLE","HapLE%","NLE","NLE%","UnHapLE","UnHapLE%"
"68-73","Literate","Earlier","5.60 (5.51, 5.69)","3.22 (3.00, 3.44)","57.4 (53.6, 61.2)","2.13 (1.92, 2.33)","38.0 (34.4, 41.6)","0.26 (0.18, 0.34)","4.6 (3.2, 6.0)"
"68-73","Literate","Later","5.52 (5.25, 5.78)","3.75 (3.14, 4.36)","67.9 (58.0, 77.8)","1.63 (1.11, 2.15)","29.5 (19.8, 39.2)","0.14 (-0.06, 0.34)","2.6 (-1.0, 6.2)"
"68-73","Literate","Diff.","-0.08 (-0.36, 0.20)","0.53 (-0.12, 1.18)","10.5 (-0.2, 21.1)","-0.50 (-1.06, 0.06)","-8.5 (-18.8, 1.9)","-0.11 (-0.33, 0.10)","-2.0 (-5.8, 1.8)"
"68-73","Illiterate","Earlier","5.48 (5.32, 5.64)","2.88 (2.58, 3.17)","52.5 (47.2, 57.7)","2.24 (1.95, 2.53)","40.9 (35.8, 46.0)","0.37 (0.25, 0.49)","6.7 (4.5, 8.9)"
"68-73","Illiterate","Later","5.36 (4.99, 5.72)","3.27 (2.31, 4.22)","61.0 (46.0, 75.9)","1.97 (1.25, 2.69)","36.8 (22.0, 51.5)","0.12 (-0.02, 0.27)","2.3 (-0.4, 5.0)"
"68-73","Illiterate","Diff.","-0.12 (-0.52, 0.28)","0.39 (-0.61, 1.39)","8.5 (-7.3, 24.4)","-0.27 (-1.04, 0.50)","-4.1 (-19.7, 11.5)","-0.24 (-0.43, -0.06)*","-4.4 (-7.9, -1.0)*"
"74-79","Literate","Earlier","5.33 (5.22, 5.44)","3.00 (2.81, 3.20)","56.4 (52.7, 60.0)","1.93 (1.70, 2.16)","36.2 (32.2, 40.3)","0.40 (0.29, 0.50)","7.4 (5.4, 9.4)"
"74-79","Literate","Later","5.37 (5.25, 5.48)","3.48 (3.23, 3.74)","64.9 (60.3, 69.5)","1.65 (1.42, 1.89)","30.8 (26.5, 35.1)","0.23 (0.14, 0.31)","4.2 (2.7, 5.8)"
"74-79","Literate","Diff.","0.04 (-0.13, 0.20)","0.48 (0.16, 0.80)**","8.6 (2.7, 14.4)**","-0.28 (-0.60, 0.05)","-5.4 (-11.3, 0.5)","-0.17 (-0.30, -0.03)*","-3.2 (-5.7, -0.7)*"
"74-79","Illiterate","Earlier","5.27 (5.15, 5.40)","2.78 (2.53, 3.03)","52.7 (48.3, 57.1)","2.02 (1.82, 2.21)","38.2 (34.5, 42.0)","0.48 (0.35, 0.60)","9.1 (6.7, 11.4)"
"74-79","Illiterate","Later","5.32 (5.17, 5.46)","2.98 (2.66, 3.30)","56.0 (50.3, 61.7)","2.13 (1.82, 2.44)","40.0 (34.4, 45.7)","0.21 (0.10, 0.32)","4.0 (1.9, 6.0)"
"74-79","Illiterate","Diff.","0.05 (-0.15, 0.24)","0.20 (-0.20, 0.60)","3.3 (-3.9, 10.5)","0.11 (-0.25, 0.48)","1.8 (-4.9, 8.5)","-0.27 (-0.43, -0.10)**","-5.1 (-8.2, -2.0)**"
"80-85","Literate","Earlier","4.81 (4.64, 4.99)","2.73 (2.45, 3.02)","56.8 (50.8, 62.8)","1.71 (1.43, 2.00)","35.6 (30.1, 41.1)","0.37 (0.21, 0.53)","7.6 (4.3, 10.9)"
"80-85","Literate","Later","4.85 (4.64, 5.05)","3.47 (3.12, 3.82)","71.6 (65.9, 77.2)","1.30 (1.05, 1.55)","26.8 (21.4, 32.2)","0.08 (0.01, 0.14)","1.6 (0.3, 3.0)"
"80-85","Literate","Diff.","0.03 (-0.24, 0.30)","0.74 (0.29, 1.19)**","14.8 (6.6, 23.0)***","-0.41 (-0.79, -0.04)*","-8.8 (-16.5, -1.1)*","-0.29 (-0.46, -0.11)**","-6.0 (-9.6, -2.4)***"
"80-85","Illiterate","Earlier","4.73 (4.58, 4.88)","2.78 (2.55, 3.00)","58.8 (54.5, 63.0)","1.35 (1.18, 1.52)","28.6 (25.1, 32.1)","0.60 (0.47, 0.72)","12.7 (10.0, 15.3)"
"80-85","Illiterate","Later","4.85 (4.67, 5.03)","3.20 (2.93, 3.47)","66.0 (61.3, 70.7)","1.47 (1.25, 1.70)","30.4 (25.7, 35.1)","0.17 (0.09, 0.26)","3.6 (1.8, 5.4)"
"80-85","Illiterate","Diff.","0.12 (-0.11, 0.36)","0.42 (0.07, 0.77)*","7.2 (0.9, 13.5)*","0.12 (-0.16, 0.41)","1.9 (-4.0, 7.7)","-0.43 (-0.58, -0.27)***","-9.1 (-12.3, -5.9)***"
"86-91","Literate","Earlier","4.00 (3.79, 4.22)","2.44 (2.13, 2.76)","61.1 (54.2, 67.9)","1.37 (1.10, 1.63)","34.1 (27.7, 40.5)","0.19 (0.04, 0.34)","4.8 (1.0, 8.6)"
"86-91","Literate","Later","4.49 (4.29, 4.70)","3.13 (2.76, 3.50)","69.7 (62.3, 77.1)","1.26 (0.92, 1.61)","28.1 (20.5, 35.7)","0.10 (0.01, 0.19)","2.2 (0.3, 4.1)"
"86-91","Literate","Diff.","0.49 (0.19, 0.79)**","0.69 (0.20, 1.17)**","8.6 (-1.5, 18.7)","-0.10 (-0.53, 0.33)","-6.0 (-15.9, 3.9)","-0.09 (-0.27, 0.08)","-2.6 (-6.9, 1.6)"
"86-91","Illiterate","Earlier","4.07 (3.94, 4.20)","2.41 (2.22, 2.60)","59.2 (55.1, 63.2)","1.29 (1.13, 1.45)","31.7 (27.9, 35.5)","0.37 (0.26, 0.48)","9.2 (6.4, 11.9)"
"86-91","Illiterate","Later","4.12 (3.96, 4.28)","2.78 (2.56, 2.99)","67.4 (62.9, 71.9)","1.11 (0.93, 1.29)","27.0 (22.9, 31.1)","0.23 (0.13, 0.33)","5.6 (3.3, 8.0)"
"86-91","Illiterate","Diff.","0.05 (-0.16, 0.25)","0.37 (0.08, 0.65)*","8.3 (2.2, 14.3)**","-0.18 (-0.42, 0.06)","-4.7 (-10.3, 0.9)","-0.14 (-0.29, 0.01)","-3.5 (-7.2, 0.1)"
