Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.596725	3.2286	2.368125	0.576873082	0.423126918	0.0490244241	0.109138099	0.1085316725	0.0189486553	0.0189486553
68	1	1	1	5.5924449018	4.2912271675	1.3012177343	0.7673257838	0.2326742162	0.0619560937	0.0805916498	0.0784593683	0.0133468042	0.0133468042
68	1	1	2	5.6027101571	1.7426549946	3.8600551625	0.3110378631	0.6889621369	0.0579435146	0.099488343	0.105204667	0.0173748072	0.0173748072
68	1	2	0	5.457175	2.86005	2.597125	0.524089845	0.475910155	0.0868174134	0.1490390858	0.1511325009	0.0262488032	0.0262488032
68	1	2	1	5.5662296346	4.0882579774	1.4779716572	0.7344752635	0.2655247365	0.0823649473	0.1264327637	0.115594449	0.0202771719	0.0202771719
68	1	2	2	5.339669679	1.5366677054	3.8030019736	0.2877832896	0.7122167104	0.1217214654	0.1210325089	0.1401533359	0.0212236689	0.0212236689
68	2	1	0	5.5213	3.8043	1.717	0.6890225128	0.3109774872	0.1323731839	0.3061964723	0.2687732805	0.049665973	0.049665973
68	2	1	1	5.5276273023	4.837254295	0.6903730073	0.8751050008	0.1248949992	0.1703766307	0.2048294987	0.1509714031	0.0268819231	0.0268819231
68	2	1	2	5.5097485165	1.9184797966	3.59126872	0.3481973435	0.6518026565	0.1554143797	0.3184886247	0.3056993136	0.0548892816	0.0548892816
68	2	2	0	5.321725	3.278575	2.04315	0.6160737355	0.3839262645	0.1976236268	0.4926275623	0.3588328511	0.075591496	0.075591496
68	2	2	1	5.5881093832	4.5912109034	0.9968984798	0.8216036209	0.1783963791	0.1409748615	0.3675525271	0.2987253766	0.0554635384	0.0554635384
68	2	2	2	4.9652794014	1.5221533785	3.4431260229	0.3065594613	0.6934405387	0.3092746392	0.4423251451	0.2968526292	0.0732687844	0.0732687844
