Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.514675	3.02294	2.491735	0.5481628564	0.4518371436	0.0491630531	0.1152819127	0.1136018187	0.0202203703	0.0202203703
68	1	1	1	5.5824749668	4.2186412088	1.363833758	0.7556937082	0.2443062918	0.0519023449	0.0895577209	0.0838651778	0.014758196	0.014758196
68	1	1	2	5.4293377603	1.5179563627	3.9113813977	0.2795840726	0.7204159274	0.0732902754	0.1039508146	0.1091115377	0.0183467947	0.0183467947
68	1	2	0	5.369535	3.358275	2.01126	0.6254312524	0.3745687476	0.1729384504	0.3630398122	0.3023767788	0.0585615118	0.0585615118
68	1	2	1	5.4165289391	4.5675819411	0.8489469981	0.8432673382	0.1567326618	0.2033064686	0.270267162	0.1922495782	0.0354259309	0.0354259309
68	1	2	2	5.2956877266	1.4579444059	3.8377433207	0.2753078507	0.7246921493	0.2439910116	0.3011720666	0.3006609063	0.0522349854	0.0522349854
68	2	1	0	5.601305	3.113045	2.48826	0.5557713783	0.4442286217	0.0459872926	0.1205980871	0.121654097	0.0212110791	0.0212110791
68	2	1	1	5.6239310045	4.2367190897	1.3872119148	0.7533376719	0.2466623281	0.0546829562	0.098112337	0.0937617816	0.0163364901	0.0163364901
68	2	1	2	5.5734355472	1.7289658097	3.8444697375	0.3102154488	0.6897845512	0.0565106803	0.0958170891	0.1018344234	0.0168180194	0.0168180194
68	2	2	0	5.66222	4.013225	1.648995	0.7087723543	0.2912276457	0.1370879254	0.3781091599	0.3125083858	0.0581716028	0.0581716028
68	2	2	1	5.7043189627	5.0165109373	0.6878080254	0.8794232879	0.1205767121	0.1518368002	0.2436010643	0.2114180843	0.0370502917	0.0370502917
68	2	2	2	5.5863252894	2.2045320777	3.3817932117	0.3946300946	0.6053699054	0.1714933747	0.4188860866	0.3403548144	0.0678492646	0.0678492646
