Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.86795	2.861325	2.006625	0.5877884941	0.4122115059	0.0702678872	0.1259128129	0.1180829451	0.0238109297	0.0238109297
80	1	1	1	4.8491917261	3.9240135581	0.9251781679	0.8092098188	0.1907901812	0.0876192274	0.1078108341	0.0776549346	0.015863641	0.015863641
80	1	1	2	4.8933600188	1.4218036261	3.4715563927	0.2905577396	0.7094422604	0.091198222	0.1050798562	0.1086504713	0.0199058903	0.0199058903
80	1	2	0	4.681255	2.706	1.975255	0.5780501169	0.4219498831	0.0733345793	0.1026206406	0.100948342	0.0202497404	0.0202497404
80	1	2	1	4.698105501	3.7907447641	0.9073607369	0.8068666749	0.1931333251	0.0845895511	0.0843882157	0.0674305718	0.0133393509	0.0133393509
80	1	2	2	4.658424585	1.2363004828	3.4221241022	0.2653902538	0.7346097462	0.0928996964	0.0867927696	0.0998744872	0.017233549	0.017233549
80	2	1	0	4.905255	3.46679	1.438465	0.7067502097	0.2932497903	0.0815760341	0.1288973648	0.1091058369	0.0221992686	0.0221992686
80	2	1	1	4.9928994353	4.3647848521	0.6281145832	0.8741984309	0.1258015691	0.094959143	0.1073723871	0.0660391223	0.0130847552	0.0130847552
80	2	1	2	4.7373837497	1.7468003848	2.9905833649	0.3687268073	0.6312731927	0.1206569864	0.1314007613	0.1316844323	0.0247554538	0.0247554538
80	2	2	0	4.76654	3.139365	1.627175	0.6586255439	0.3413744561	0.0900915855	0.1516033668	0.1288552596	0.0273677545	0.0273677545
80	2	2	1	4.8558499913	4.1136179604	0.7422320309	0.8471468369	0.1528531631	0.0995492263	0.1243375594	0.0790931323	0.0165195047	0.0165195047
80	2	2	2	4.6145824891	1.4817111057	3.1328713834	0.3210932103	0.6789067897	0.1264349572	0.1324901005	0.1420328317	0.0263914979	0.0263914979
