Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
86	1	1	0	4.045575	2.575125	1.47045	0.6365288	0.3634712	0.0679010882	0.0946366392	0.0829217856	0.0201182696	0.0201182696
86	1	1	1	4.0544947964	3.4884864378	0.5660083586	0.8603997817	0.1396002183	0.0788119827	0.0799066224	0.0512496397	0.0122638999	0.0122638999
86	1	1	2	4.0316147236	1.1456329357	2.8859817879	0.2841623057	0.7158376943	0.0983409978	0.0771256308	0.0915679285	0.0167713711	0.0167713711
86	1	2	0	4.029475	2.3564	1.673075	0.5847908226	0.4152091774	0.0669725331	0.1027317111	0.0836454664	0.021604679	0.021604679
86	1	2	1	4.0659546643	3.4588491718	0.6071054926	0.8506856218	0.1493143782	0.0897060192	0.0905814209	0.0527861667	0.0127758426	0.0127758426
86	1	2	2	3.9804220399	0.8739742087	3.1064478312	0.2195682267	0.7804317733	0.0836472159	0.0678400615	0.0858386219	0.015887675	0.015887675
86	2	1	0	4.300425	3.02865	1.271775	0.7042676015	0.2957323985	0.1016295507	0.1305950329	0.1008462243	0.0231903658	0.0231903658
86	2	1	1	4.4036276737	3.9846822847	0.418945389	0.9048635761	0.0951364239	0.1177194381	0.1135787197	0.0535176713	0.011670939	0.011670939
86	2	1	2	4.1184192345	1.342614343	2.7758048915	0.3260023486	0.6739976514	0.1276191623	0.1068113047	0.1205031432	0.0226432922	0.0226432922
86	2	2	0	4.211925	2.80375	1.408175	0.6656694979	0.3343305021	0.0828577501	0.1388476919	0.1209676368	0.0287159721	0.0287159721
86	2	2	1	4.3043654987	3.7764409398	0.527924559	0.8773513636	0.1226486364	0.0926913748	0.1100220755	0.0727883636	0.0167475809	0.0167475809
86	2	2	2	4.0642291207	1.2496428108	2.8145863099	0.3074735143	0.6925264857	0.1178960689	0.1071418895	0.1110008144	0.0231624455	0.0231624455
