Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
68	1	1	0	5.595925	3.22739	2.368535	0.5767393237	0.4232606763	0.0433753718	0.1084070684	0.1070467136	0.0188258163	0.0188258163
68	1	1	1	5.5879331927	4.2870346554	1.3008985373	0.7671950447	0.2328049553	0.0530622774	0.0872845783	0.0823648035	0.0143852525	0.0143852525
68	1	1	2	5.6071060144	1.7448840055	3.862222009	0.3111915489	0.6888084511	0.0560177204	0.0983095096	0.0987917308	0.0168919078	0.0168919078
68	1	2	0	5.45395	2.846685	2.607265	0.5219492295	0.4780507705	0.0784975264	0.1510431524	0.1519580461	0.0267711239	0.0267711239
68	1	2	1	5.5620873909	4.0799275938	1.4821597971	0.7335245398	0.2664754602	0.0782709019	0.1278565964	0.1179453578	0.0208084549	0.0208084549
68	1	2	2	5.3384181025	1.5291124579	3.8093056446	0.2864354999	0.7135645001	0.1108627164	0.1241438409	0.1374618031	0.0219362553	0.0219362553
68	2	1	0	5.518905	3.797635	1.72127	0.6881138559	0.3118861441	0.1364986383	0.2885345592	0.2470539281	0.0457770757	0.0457770757
68	2	1	1	5.5199511275	4.824762597	0.6951885304	0.8740589338	0.1259410662	0.1697801399	0.201451986	0.1469907693	0.0261036011	0.0261036011
68	2	1	2	5.5169911154	1.918510554	3.5984805614	0.3477458118	0.6522541882	0.1645708862	0.3048727927	0.2892782574	0.0520948082	0.0520948082
68	2	2	0	5.32156	3.27555	2.04601	0.6155243951	0.3844756049	0.2063514363	0.5298896805	0.3883132958	0.0816232485	0.0816232485
68	2	2	1	5.5858718762	4.5804694852	1.005402391	0.8200097651	0.1799902349	0.1357932755	0.4058943644	0.3280048936	0.0613694477	0.0613694477
68	2	2	2	4.965683514	1.5185719649	3.4471115491	0.3058132804	0.6941867196	0.3284228481	0.4452933085	0.3058569551	0.0732086853	0.0732086853
