Age	cohort	edu	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
86	1	1	0	4.0038	2.43515	1.56865	0.6082097008	0.3917902992	0.1096400688	0.1568554914	0.1445744597	0.0350181933	0.0350181933
86	1	1	1	4.0481730438	3.4633746984	0.5847983454	0.8555401809	0.1444598191	0.1260640367	0.1327444419	0.0785414512	0.0191017695	0.0191017695
86	1	1	2	3.942472606	1.0140543116	2.9284182944	0.257212773	0.742787227	0.1361921019	0.1066647195	0.1292480363	0.0241441969	0.0241441969
86	1	2	0	4.07855	2.411175	1.667375	0.591184367	0.408815633	0.0648532035	0.0972403626	0.0836661714	0.0207065442	0.0207065442
86	1	2	1	4.0703313773	3.4756644805	0.5946668968	0.8539020926	0.1460979074	0.0847517266	0.0869729007	0.0554480397	0.0133490045	0.0133490045
86	1	2	2	4.089871612	0.9447812649	3.1450903471	0.2310051157	0.7689948843	0.0817388036	0.0681976841	0.0801750687	0.0152459148	0.0152459148
86	2	1	0	4.49285	3.136075	1.356775	0.6980146232	0.3019853768	0.1045707837	0.186643357	0.1680575194	0.0372424333	0.0372424333
86	2	1	1	4.6065710872	4.1297889287	0.4767821585	0.8964995548	0.1035004452	0.1237553553	0.1353425294	0.0926674204	0.019612555	0.019612555
86	2	1	2	4.3010745467	1.4603089322	2.8407656145	0.3395218837	0.6604781163	0.1460589465	0.1645080863	0.1772734078	0.0360083219	0.0360083219
86	2	2	0	4.1144	2.75875	1.35565	0.6705108886	0.3294891114	0.0808268614	0.1084595989	0.1011753135	0.0234030834	0.0234030834
86	2	2	1	4.1916133733	3.7229013195	0.4687120538	0.8881786052	0.1118213948	0.0891513745	0.0909008042	0.0555976769	0.0128120567	0.0128120567
86	2	2	2	3.9896691513	1.2012553943	2.788413757	0.3010914812	0.6989085188	0.1101019614	0.0993017542	0.1030569151	0.0215988709	0.0215988709
