Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
74	1	1	0	5.2256	3.0974	2.1282	0.5927357624	0.4072642376	0.0667813953	0.1148380101	0.1091984056	0.0204438767	0.0204438767
74	1	1	1	5.2522639611	4.2262703337	1.0259936274	0.8046568804	0.1953431196	0.0878985022	0.1011158714	0.0717536344	0.0134406896	0.0134406896
74	1	1	2	5.1862150111	1.4299603666	3.7562546445	0.2757233095	0.7242766905	0.0856683286	0.1050166137	0.1153237761	0.0194901783	0.0194901783
74	1	2	0	5.3285	2.840575	2.487925	0.5330909262	0.4669090738	0.0448448359	0.1036591826	0.096331156	0.0182216122	0.0182216122
74	1	2	1	5.3845638868	4.120696251	1.2638676358	0.7652794799	0.2347205201	0.0604611068	0.0836202773	0.0711500666	0.0129411953	0.0129411953
74	1	2	2	5.267078793	1.4381286672	3.8289501257	0.2730410392	0.7269589608	0.0584073238	0.088444369	0.0861505405	0.015864339	0.015864339
74	2	1	0	5.282425	3.6075	1.674925	0.6829249824	0.3170750176	0.0603206001	0.1136282853	0.1073697191	0.0200595822	0.0200595822
74	2	1	1	5.3428698969	4.6118415713	0.7310283256	0.8631768432	0.1368231568	0.0689481212	0.0907171717	0.0698265564	0.0129732766	0.0129732766
74	2	1	2	5.1854408126	1.9960281287	3.1894126839	0.3849293051	0.6150706949	0.0956379014	0.125512387	0.1186007139	0.0220087405	0.0220087405
74	2	2	0	5.3712	3.06185	2.30935	0.5700495234	0.4299504766	0.0649817738	0.1300743869	0.1285356484	0.0233021897	0.0233021897
74	2	2	1	5.4428542934	4.4626508427	0.9802034507	0.8199100329	0.1800899671	0.0705105428	0.1009217385	0.088741601	0.0159388753	0.0159388753
74	2	2	2	5.2991577259	1.6534643538	3.6456933721	0.3120239931	0.6879760069	0.0898774954	0.1107548645	0.1221489154	0.0200465973	0.0200465973
