Age	cohort	urban	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
86	1	1	0	4.0421	2.571625	1.470475	0.6362101383	0.3637898617	0.0642633613	0.0918441157	0.0853480321	0.0203719373	0.0203719373
86	1	1	1	4.0471501997	3.479195312	0.5679548877	0.8596654783	0.1403345217	0.0754597394	0.0816706848	0.0488677509	0.0119732597	0.0119732597
86	1	1	2	4.0341703506	1.1465893904	2.8875809602	0.2842193786	0.7157806214	0.0982623122	0.0745234006	0.0979290352	0.016939766	0.016939766
86	1	2	0	4.02532	2.354645	1.670675	0.5849584629	0.4150415371	0.0634125599	0.0975014901	0.0860662894	0.0214470501	0.0214470501
86	1	2	1	4.0614407517	3.4515834348	0.6098573169	0.849842124	0.150157876	0.0836990081	0.0835950138	0.0514740999	0.0122676389	0.0122676389
86	1	2	2	3.9765106983	0.872372443	3.1041382553	0.2193813897	0.7806186103	0.0838780242	0.0689008719	0.0849039804	0.0160977493	0.0160977493
86	2	1	0	4.30252	3.03537	1.26715	0.7054865521	0.2945134479	0.0883921522	0.1335814064	0.1082197751	0.0255033123	0.0255033123
86	2	1	1	4.4046309787	3.9869969137	0.417634065	0.9051829615	0.0948170385	0.1075168773	0.1135004347	0.0577487872	0.0130357978	0.0130357978
86	2	1	2	4.1223146894	1.3559401698	2.7663745196	0.3289268947	0.6710731053	0.1200294271	0.1099852807	0.122232051	0.0241269582	0.0241269582
86	2	2	0	4.21307	2.80763	1.40544	0.6664095303	0.3335904697	0.0871592701	0.1356024788	0.1116904233	0.0268952076	0.0268952076
86	2	2	1	4.3043485334	3.7788804113	0.5254681221	0.8779215674	0.1220784326	0.0993557173	0.1149365916	0.0693222552	0.0160913469	0.0160913469
86	2	2	2	4.0674521814	1.2581817238	2.8092704576	0.3093291986	0.6906708014	0.1221649411	0.1043813808	0.1228305912	0.0234847285	0.0234847285
