Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.602725	2.745575	1.85715	0.5965107626	0.4034892374	0.0680689273	0.1203391175	0.1110302164	0.0239614435	0.0239614435
80	1	1	1	4.6042980197	3.8545866264	0.7497113933	0.8371714016	0.1628285984	0.0778548732	0.0874657412	0.0577693046	0.0123359655	0.0123359655
80	1	1	2	4.6006980204	1.3165121867	3.2841858336	0.2861548793	0.7138451207	0.0979985443	0.1048588881	0.104226061	0.0205424697	0.0205424697
80	1	2	0	4.70215	3.098675	1.603475	0.6589910998	0.3410089002	0.088467975	0.1451305485	0.1197516468	0.0259262853	0.0259262853
80	1	2	1	4.7415416534	4.0649138206	0.6766278327	0.857297925	0.142702075	0.109416377	0.1247222469	0.082428243	0.01703772	0.01703772
80	1	2	2	4.6360471344	1.4772362078	3.1588109266	0.3186413263	0.6813586737	0.103032395	0.1249293879	0.1262196366	0.024913296	0.024913296
80	2	1	0	4.85745	2.767275	2.090175	0.5696970633	0.4303029367	0.0688047187	0.1172203848	0.1093974168	0.0221854838	0.0221854838
80	2	1	1	4.8686976585	3.8250726372	1.0436250214	0.7856459582	0.2143540418	0.0805480245	0.0971076544	0.0721472274	0.0145911139	0.0145911139
80	2	1	2	4.8415883345	1.2755483249	3.5660400096	0.2634565842	0.7365434158	0.0869622992	0.1065231917	0.1052771639	0.0203572392	0.0203572392
80	2	2	0	4.94725	3.41785	1.5294	0.6908585578	0.3091414422	0.084859745	0.1544301538	0.1209120808	0.0257072324	0.0257072324
80	2	2	1	5.0639521509	4.3634307185	0.7005214324	0.8616650767	0.1383349233	0.0918186062	0.1203345673	0.0764028346	0.0154745081	0.0154745081
80	2	2	2	4.728552953	1.6458542894	3.0826986636	0.3480672218	0.6519327782	0.1186737737	0.1485026466	0.1472382228	0.0287848064	0.0287848064
