Age	sex	cohort	State	TLE	LEs1	LEs2	LEp1	LEp2	TLE_STD	LEs1_STD	LEs2_STD	LEp1_STD	LEp2_STD
80	1	1	0	4.601945	2.74013	1.861815	0.595428672	0.404571328	0.0702897184	0.1155859031	0.1091832408	0.0230713062	0.0230713062
80	1	1	1	4.5965140341	3.8410533949	0.7554606392	0.8356448749	0.1643551251	0.0834530361	0.0891283531	0.0649481599	0.0135318007	0.0135318007
80	1	1	2	4.6090107918	1.3078073587	3.3012034331	0.2837501186	0.7162498814	0.0951243945	0.0920494467	0.1015957467	0.018355002	0.018355002
80	1	2	0	4.69947	3.091985	1.607485	0.6579433425	0.3420566575	0.0935968976	0.1371126286	0.1240121975	0.0256613772	0.0256613772
80	1	2	1	4.736861826	4.0461988584	0.6906629676	0.8541939805	0.1458060195	0.10377015	0.1165586516	0.0774939993	0.0160034127	0.0160034127
80	1	2	2	4.6365672442	1.4867496379	3.1498176064	0.3206574087	0.6793425913	0.1256353968	0.1213458959	0.1376945565	0.0242554172	0.0242554172
80	2	1	0	4.853355	2.759465	2.09389	0.5685685469	0.4314314531	0.0752370529	0.1132131016	0.1074950643	0.0213284697	0.0213284697
80	2	1	1	4.8562975631	3.8156990167	1.0405985464	0.7857218317	0.2142781683	0.0857287901	0.0975476389	0.0773342192	0.015276215	0.015276215
80	2	1	2	4.8492113185	1.272089103	3.5771222155	0.2623290716	0.7376709284	0.0979597572	0.0959390444	0.1041276753	0.0181749385	0.0181749385
80	2	2	0	4.946315	3.440675	1.50564	0.6956036969	0.3043963031	0.087988368	0.1487169551	0.1218155604	0.0252378847	0.0252378847
80	2	2	1	5.0660576247	4.3731705827	0.6928870421	0.863229538	0.136770462	0.0933898538	0.118743693	0.0771116723	0.0153991385	0.0153991385
80	2	2	2	4.7193995715	1.6735713045	3.045828267	0.354615302	0.645384698	0.127858186	0.1385660364	0.1354919117	0.0261384982	0.0261384982
